title,price,Make,Model,Year_of_manufacture,Condition,Transmission,Exchange,fuel_type,body_type,address_of_sale,Mileage
Toyota  Camry 2016,"6,700,000",Toyota,Camry,2016,,Automatic,,Petrol,,Lekki,30000
Toyota Camry 1999,"670,000",Toyota,Camry,1999,,Automatic,,Petrol,,Harcourt,130000
BMW 750i,"5,000,000",BMW,7,2007,,Automatic,,Petrol,,Ibadan,129820
Nigerian used 2015 Mercedes Benz GLK350 4MATIC ,"7,600,000",Mercedes,GLK -class,2015,,Automatic,,Petrol,,Lekki,50000
Foreign used 2013 Mercedes Benz ML350 4Matic,"10,500,000",Mercedes,ML -class AMG,2013,,Automatic,,Petrol,,Lekki,60000
Nigerian used 2013 Range Rover Evogue ,"9,500,000",Land rover,Range Rover,2013,,Automatic,,Petrol,,Lekki,55000
Foreign used 2017 Mercedes Benz C300 Coupe,"22,500,000",Mercedes,C -class,2017,,Automatic,,Petrol,,Lekki,55000
Nigerian used 2014 Mercedes Benz CLS550,"8,500,000",Mercedes,CLS -class,2014,,Automatic,,Petrol,,Lekki,60000
Toyota,"9,500,000",Toyota,Prado,2012,,Automatic,,Petrol,,Lekki,173580
Foreign used 2015 Mercedes Benz S550 4Matic,"45,000,000",Mercedes,S -class,2015,,Automatic,,Petrol,,Lekki,40000
Foreign used 2013 BMW M5 Power,"14,500,000",BMW,M5,2013,,Automatic,,Petrol,,Lekki,55000
Mercedes Benz ,"12,999,999",Mercedes,CL -class,2016,,Automatic,,Petrol,,Island,10000
Nigerian used 2013 Porsche Panamera,"15,000,000",Porsche,Panamera,2013,,Automatic,,Petrol,,Lekki,11000
Foreign used 2014 Range Rover Autobiography ,"38,000,000",Land rover,Range Rover,2016,,Automatic,,Petrol,,Lekki,40000
Foreign used 2013 Lexus RX350,"8,200,000",Lexus,RX,2013,,Automatic,,Petrol,,Lekki,60000
New 2019 Toyota Prado VXR,"30,000,000",Toyota,Prado,2018,,Automatic,,Petrol,,Ikeja,60000
Foreign used 2014 Range Rover Sport ,"17,000,000",Land rover,Range Rover,2014,,Automatic,,Petrol,,Ikeja,60000
Toyota 4Runner  2011,"11,000,000",Toyota,4runner,2011,,Automatic,,Petrol,,Lagos,42135
Toyota Hilux 2019 ,"23,999,999",Toyota,Hilux,2018,,Automatic,,Petrol,,Island,8000
Foreign used 2015 Mercedes Benz - Maybach S550 4Matic,"36,000,000",Mercedes,S -class,2015,,Automatic,,Petrol,,Lekki,30000
Foreign used 2012 Bentley GT,"30,000,000",Bentley,Continental,2012,,Automatic,,Petrol,,Lekki,50000
Foreign used 2016 Mercedes Benz GLE450 ,"25,000,000",Mercedes,GL -class,2016,,Automatic,,Petrol,,Lekki,40000
BMW 540i 1997,"1,000,000",BMW,5,1997,,Automatic,,Gas,,Mainland,12000
Foreign used 2013 Mercedes Benz GLK350,"8,500,000",Mercedes,GLK -class,2013,,Automatic,,Petrol,,Lekki,85000
Foreign used 2017 Mercedes Benz E300 on E63 AMG Trim Kit,"20,000,000",Mercedes,E -class AMG,2017,,Automatic,,Petrol,,Lekki,62000
Foreign used 2017 Mercedes Benz GLE63 AMG,"42,000,000",Mercedes,GL -class,2017,,Automatic,,Petrol,,Lekki,8000
